
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Start Probs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31776514643794e-100,0.0,0.0,0.0,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13
4,0.12428798081304261,1.4488699457726825e-154,0.0067620835863039909,0.20257782207861291,0.079997143903933518,0.0,0.00013810075667809073,0.044351829338817053,0.11192842600561598,0.23459447943772399,9.2110828570181369e-75,0.0063067974818696278,8.4483259982400198e-169,0.18905533659740228
5,0.0,0.0,0.0,0.0,7.9174340529530569e-217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0493458653895135e-256,0.0,0.0,2.5233945238210554e-142,2.8489082949504809e-67,0.0,9.8590973353359246e-26,2.5211289742022421e-225,0.66822705279394679,4.5824971565732114e-186,0.1558758832888944,3.4361919613855593e-156,0.0,0.17589706391715876
7,0.34670650472400577,0.0050133143926940314,0.0,0.078383673553112085,0.064436024973959782,0.0,7.0158537750013769e-181,0.13929572617536137,0.036576608098168137,0.23655030972925226,0.014969262220098747,1.8720909809447921e-124,6.2616061329379404e-74,0.078068576133347653
8,0.047615288721098659,1.1609385012480333e-125,2.3052126504404362e-74,0.074848378656737255,0.17484765235996316,0.0,0.036009487165772687,0.071978603207721439,0.2733345381401765,0.11277225461330366,0.025910702524346664,0.017145787842487426,2.9900393242382199e-302,0.16553730676839259
9,0.45724208396295202,0.0040532123516606594,0.0,0.083288061968988192,0.024614912911428182,0.00091341776200736565,1.4466068256354276e-227,0.054739083647156767,0.0072315189290525633,0.31696638692031526,0.0020577862056022213,0.00099739212095126067,1.7145043568525531e-140,0.047896143219885834
10,0.054683386983050183,8.3533767852059354e-160,3.3431823641803772e-134,0.1902233861427032,0.059706710342919161,0.0,1.5883762047138365e-170,2.5657981023659354e-07,0.19753344480879814,0.21767267265268969,0.10578086506444496,6.9973876137805012e-93,0.0,0.17439927742558428
11,0.29745696292472668,3.4649285145905297e-210,0.0,7.8661147343216756e-132,0.29559259798345383,0.0,1.2378091302202783e-33,9.9408143337430592e-84,0.15684539397084096,0.25010504512097859,7.2104526250444577e-102,2.1934319381657871e-129,0.0,1.2641509105694676e-132
12,0.0,0.0,0.33333333230388756,0.0,2.4809119995571247e-223,0.0,0.0,0.0,0.33333333538979976,0.0,1.6025692901901776e-171,5.9448996769250544e-143,0.33333333230631285,0.0
13,0.12115067137959511,0.015447478761333622,0.0,0.20200182232526739,0.12299466442971072,0.0,0.0042802238193362556,0.056658560943090977,0.092030648450145372,0.15519080626101472,0.015270072964124203,2.7335512516895325e-51,0.0075447451296498632,0.20743030553673178
