
Value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Start Probs,0.3333333333054525,0.0,0.0,0.0,0.0,0.6666666666945474,0.0,0.0,0.0,0.0,0.0,0.0,7.4869728581110565e-230,0.0,0.0,0.0,0.0,1.326932880609446e-291,0.0

Means,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
pull_request_commit_comment,0.0,127.33333333333333,19.53985732849463,0.18325601258813382,6.4809247514778923,0.0,0.0,25.848178238849478,63.999950584692662,8.5468503753114806,6.6886363580982637,14.656303721857423,4.7031976760441179,77.99999987400777,8.5916611360163433,143.0,3.0787757931307134,0.0,118.0
pull_request_commit,0.0,73.333333333333329,16.007467207730908,2.2930628797452761,10.082395303917433,0.63896484836914991,0.0,21.436848479481188,90.665897984108042,2.259034432857999,2.357441352696334,8.7869517454755677,2.7300100785758832,14.499999858587229,8.3982093843220706,130.0,3.5790362092856651,2.0834865410159913,40.0

Variances,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
commit_messages,0.10864637748233479,98.670000000000002,55.938381462108921,4.086530318066762,77.279299768561245,8.4832342036639119,0.01,139.00120823721232,420.22613005889184,9.5777469362791532,4.5548260336845727,12.81520652521295,6.5693400288096697,6.2550020736958567,35.775483462141061,0.01,8.3908670967447136,6.7381812244196091,0.01
pull_request_merged,1.7510484239189347e-06,6.8922222222222196,3.0583182925051169,0.17899714780789011,0.22314146051214281,9.2285237467938158e-06,0.01,0.72422101359116331,20.225581117492894,0.22877301075044854,0.27590088376480243,0.68009134344517663,1.7391219939890421e-05,1.0049999998384376,1.2267756555218918,0.01,1.564763766028811,0.27942739773769337,0.01
issue_comment,0.023559398562401232,66.892222222222017,97.925235098677035,15.513654320880523,3.7388099035529168,3.8025798034374847,0.01,26.404547759234127,29.560643955561595,17.174242663247021,23.644594706696889,85.316445375538009,18.837959912256323,20.255016718099938,61.023728237537419,0.01,24.932330157157608,7.2336326541182832,0.01
commit_comments,1.7510484239189347e-06,0.0033333333333333335,0.00029782684807397964,1.9225504388059587,0.00024357725972057434,9.2285237467938158e-06,0.01,0.00038078983938086752,0.0033332784274362893,19.950243118391484,8.2079148313193918e-05,0.00010303510159896014,1.7391219939890421e-05,1.0049999998428687,2.1265277973600867,0.01,9.1478623546636953e-05,4.1173535252376127e-05,0.01
issue_title,1.7510484239189347e-06,26.003333333333334,8.9053296805669948,0.88211763929557629,0.43141996525977799,0.43744101661615437,0.01,1.3752065006629368,16.226432145964107,0.14657472759177306,0.49933557996518541,3.4887662898757741,1.3635131753056891,1.0049999998783345,57.97978176866566,0.01,3.9931667125018508,0.97834910171244771,0.01
issue_closed,1.7510484239189347e-06,6.225555555555581,11.743982197618507,3.1234748900607006,0.30126163083507751,0.14556960231119878,0.01,1.9063056771309208,74.891517532925249,0.56119574236129355,0.30644927071112771,2.4982906722109028,1.7391219939890421e-05,9.005000219758692,3.660735574880889,0.01,3.8240125192885981,0.62556260969941135,0.01
