Unnamed: 0,project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit,State
947,aio-libs~aioredis,20161227,2,0,0,0,0,0,0,0,2,10
948,aio-libs~aioredis,20161228,8,1,1,0,1,1,1,0,7,11
949,aio-libs~aioredis,20161229,3,0,0,0,0,0,0,0,1,10
954,aio-libs~aioredis,20170103,0,0,1,0,1,0,1,0,3,10
955,aio-libs~aioredis,20170104,0,0,1,0,0,0,0,12,3,10
956,aio-libs~aioredis,20170105,1,1,3,0,0,1,0,8,2,5
957,aio-libs~aioredis,20170106,5,1,4,0,2,1,1,0,4,11
959,aio-libs~aioredis,20170108,1,0,0,0,0,0,0,0,1,10
961,aio-libs~aioredis,20170110,9,1,1,0,1,1,1,0,7,11
962,aio-libs~aioredis,20170111,10,0,2,0,0,0,0,0,2,10
963,aio-libs~aioredis,20170112,2,0,0,0,0,0,0,0,2,10
964,aio-libs~aioredis,20170113,5,1,3,0,2,3,1,0,1,11
967,aio-libs~aioredis,20170116,9,0,0,0,0,0,0,0,9,10
968,aio-libs~aioredis,20170117,6,1,3,0,3,4,0,0,0,11
969,aio-libs~aioredis,20170118,4,1,1,0,2,1,1,0,2,11
970,aio-libs~aioredis,20170119,1,0,0,0,1,0,1,0,1,10
973,aio-libs~aioredis,20170122,1,0,0,0,1,0,1,0,1,10
974,aio-libs~aioredis,20170123,2,2,1,0,0,2,0,0,0,11
977,aio-libs~aioredis,20170126,2,0,7,0,2,0,2,0,2,10
978,aio-libs~aioredis,20170127,1,1,1,0,0,1,0,0,0,11
981,aio-libs~aioredis,20170130,2,1,2,0,1,1,0,0,1,11
982,aio-libs~aioredis,20170131,0,0,3,0,1,0,0,0,0,10
989,aio-libs~aioredis,20170207,1,0,1,0,1,0,1,0,1,10
999,aio-libs~aioredis,20170217,1,1,0,0,0,1,0,0,0,11
1001,aio-libs~aioredis,20170219,0,0,0,0,2,0,1,0,2,10
1002,aio-libs~aioredis,20170220,0,0,3,0,1,0,0,0,0,10
1005,aio-libs~aioredis,20170223,0,0,1,0,0,1,0,0,0,11
1013,aio-libs~aioredis,20170303,4,1,4,0,1,2,1,0,3,11
1024,aio-libs~aioredis,20170314,1,0,0,0,1,0,1,0,1,10
1037,aio-libs~aioredis,20170327,2,1,1,0,0,2,0,0,0,11
1054,aio-libs~aioredis,20170413,4,1,2,0,1,1,1,0,1,11
1059,aio-libs~aioredis,20170418,0,0,1,0,0,1,0,0,0,11
1062,aio-libs~aioredis,20170421,0,0,2,0,1,1,0,0,0,11
1063,aio-libs~aioredis,20170422,2,1,1,0,1,1,1,0,1,11
1065,aio-libs~aioredis,20170424,0,0,1,0,1,0,1,0,1,10
1066,aio-libs~aioredis,20170425,2,0,1,0,1,0,0,0,2,10
1069,aio-libs~aioredis,20170428,3,1,4,0,2,1,2,0,4,11
1070,aio-libs~aioredis,20170429,0,0,1,0,1,0,1,6,0,10
1073,aio-libs~aioredis,20170502,0,0,1,0,0,0,0,0,4,10
1074,aio-libs~aioredis,20170503,11,2,3,0,2,2,2,0,8,4
1075,aio-libs~aioredis,20170504,10,3,2,0,3,5,2,0,3,4
1076,aio-libs~aioredis,20170505,10,1,1,0,1,1,1,3,1,4
1080,aio-libs~aioredis,20170509,2,0,0,0,2,0,2,0,2,10
1081,aio-libs~aioredis,20170510,1,0,2,0,1,0,1,0,1,10
1082,aio-libs~aioredis,20170511,8,2,7,0,2,3,2,5,6,4
1083,aio-libs~aioredis,20170512,3,1,5,0,2,1,2,0,3,11
1084,aio-libs~aioredis,20170513,5,1,0,0,1,2,1,0,3,11
1085,aio-libs~aioredis,20170514,1,0,2,0,1,0,1,0,1,10
1086,aio-libs~aioredis,20170515,9,5,3,0,2,6,2,0,3,4
1087,aio-libs~aioredis,20170516,0,0,0,0,2,0,1,0,1,10
1089,aio-libs~aioredis,20170518,0,0,4,0,0,0,0,0,0,10
1093,aio-libs~aioredis,20170522,1,0,0,0,1,0,1,0,1,10
1094,aio-libs~aioredis,20170523,1,1,1,0,0,1,0,0,0,11
