project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120407,9,1,1,0,0,1,0,0,1
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120409,1,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120411,12,2,2,0,0,2,0,0,0
idan~oauthlib,20120412,6,0,0,0,1,0,0,0,0
idan~oauthlib,20120413,0,0,1,0,0,1,0,0,0
idan~oauthlib,20120414,1,0,0,0,0,0,0,0,0
idan~oauthlib,20120415,1,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120418,10,0,5,0,1,0,1,0,30
idan~oauthlib,20120419,5,1,7,0,2,1,2,0,15
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120421,2,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120423,8,0,0,0,0,0,0,0,0
idan~oauthlib,20120424,12,0,6,6,1,0,1,3,1
idan~oauthlib,20120425,1,1,1,1,0,1,0,1,0
idan~oauthlib,20120426,7,0,1,0,1,1,1,1,7
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan~oauthlib,20120429,4,1,1,0,2,1,0,0,0
idan~oauthlib,20120430,2,1,3,0,1,2,1,0,1
idan~oauthlib,20120501,9,0,1,0,4,0,1,0,1
idan~oauthlib,20120502,7,0,0,0,1,0,0,0,0
idan~oauthlib,20120503,5,0,0,0,1,0,1,0,1
idan~oauthlib,20120504,1,0,2,0,1,0,0,0,1
idan~oauthlib,20120505,0,0,1,0,1,0,1,0,0
idan~oauthlib,20120506,3,1,2,0,1,1,1,0,1
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
idan/oauthlib,NullState,0,0,0,0,0,0,0,0,0
