project,burst_id,burst,num_days,num_tt_segments
nilearn~nilearn,11,2013/05/13-2013/05/17,5,1
nilearn~nilearn,12,2013/05/21-2013/05/22,2,1
nilearn~nilearn,13,2013/05/27-2013/05/31,5,2
nilearn~nilearn,14,2013/06/10-2013/06/20,11,3
nilearn~nilearn,15,2013/07/16-2013/07/18,3,2
nilearn~nilearn,16,2013/08/01-2013/08/02,2,1
nilearn~nilearn,17,2013/08/19-2013/08/19,1,1
nilearn~nilearn,18,2013/08/29-2013/09/05,8,3
nilearn~nilearn,19,2013/09/10-2013/09/19,10,2
nilearn~nilearn,20,2013/10/11-2013/10/14,4,1
nilearn~nilearn,21,2013/10/25-2013/10/25,1,1
nilearn~nilearn,22,2013/11/01-2013/11/06,6,2
nilearn~nilearn,23,2013/11/13-2013/11/13,1,1
nilearn~nilearn,24,2013/11/19-2013/11/22,4,1
nilearn~nilearn,25,2013/11/27-2013/11/27,1,1
nilearn~nilearn,26,2013/12/03-2013/12/13,11,3
nilearn~nilearn,27,2014/01/29-2014/02/04,7,1
nilearn~nilearn,28,2014/02/11-2014/02/21,11,2
nilearn~nilearn,29,2014/03/03-2014/03/06,4,1
nilearn~nilearn,30,2014/03/11-2014/03/11,1,1
nilearn~nilearn,31,2014/03/19-2014/03/20,2,1
nilearn~nilearn,32,2014/03/25-2014/04/04,11,3
nilearn~nilearn,33,2014/04/09-2014/04/17,9,2
nilearn~nilearn,34,2014/04/21-2014/04/24,4,1
nilearn~nilearn,35,2014/04/28-2014/04/28,1,1
nilearn~nilearn,36,2014/05/16-2014/05/21,6,2
nilearn~nilearn,37,2014/05/27-2014/05/29,3,1
nilearn~nilearn,38,2014/06/16-2014/06/19,4,1
nilearn~nilearn,39,2014/06/27-2014/07/03,7,2
nilearn~nilearn,40,2014/07/21-2014/07/22,2,1
nilearn~nilearn,41,2014/08/01-2014/08/01,1,1
nilearn~nilearn,42,2014/08/07-2014/08/07,1,1
nilearn~nilearn,43,2014/08/24-2014/08/27,4,2
nilearn~nilearn,44,2014/09/02-2014/09/03,2,1
nilearn~nilearn,45,2014/09/10-2014/09/17,8,3
nilearn~nilearn,46,2014/09/22-2014/10/02,11,2
nilearn~nilearn,47,2014/10/06-2014/11/05,31,5
nilearn~nilearn,48,2014/11/11-2014/11/14,4,2
nilearn~nilearn,49,2014/11/19-2014/12/19,31,8
nilearn~nilearn,50,2014/12/23-2014/12/23,1,1
nilearn~nilearn,51,2015/01/06-2015/01/22,17,2
nilearn~nilearn,52,2015/01/26-2015/03/30,64,9
nilearn~nilearn,53,2015/04/08-2015/04/24,17,2
nilearn~nilearn,54,2015/04/28-2015/05/14,17,5
nilearn~nilearn,55,2015/05/18-2015/05/26,9,3
nilearn~nilearn,56,2015/06/01-2015/06/04,4,1
nilearn~nilearn,57,2015/06/08-2015/06/18,11,2
nilearn~nilearn,58,2015/06/22-2015/07/31,40,10
nilearn~nilearn,59,2015/08/04-2015/08/06,3,1
nilearn~nilearn,60,2015/08/11-2015/08/11,1,1
nilearn~nilearn,61,2015/08/17-2015/08/27,11,3
nilearn~nilearn,62,2015/09/03-2015/09/04,2,1
nilearn~nilearn,63,2015/09/08-2015/09/11,4,1
nilearn~nilearn,64,2015/09/17-2015/09/17,1,1
nilearn~nilearn,65,2015/09/21-2015/09/22,2,1
nilearn~nilearn,66,2015/09/29-2015/09/29,1,1
nilearn~nilearn,67,2015/10/05-2015/10/07,3,1
nilearn~nilearn,68,2015/10/13-2015/10/23,11,4
nilearn~nilearn,69,2015/10/27-2015/12/20,55,11
nilearn~nilearn,70,2016/01/04-2016/01/21,18,3
nilearn~nilearn,71,2016/01/26-2016/01/28,3,1
nilearn~nilearn,72,2016/02/01-2016/03/03,32,8
nilearn~nilearn,73,2016/03/09-2016/03/10,2,1
nilearn~nilearn,74,2016/03/16-2016/03/23,8,1
nilearn~nilearn,75,2016/03/29-2016/03/31,3,1
nilearn~nilearn,76,2016/04/07-2016/04/07,1,1
