project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
aio-libs~aioredis,20161220,4,0,0,0,0,0,0,0,0
aio-libs~aioredis,20161223,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20161227,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20161228,8,1,1,0,1,1,1,0,7
aio-libs~aioredis,20161229,3,0,0,0,0,0,0,0,1
aio-libs~aioredis,20170103,0,0,1,0,1,0,1,0,3
aio-libs~aioredis,20170104,0,0,1,0,0,0,0,12,3
aio-libs~aioredis,20170105,1,1,3,0,0,1,0,8,2
aio-libs~aioredis,20170106,5,1,4,0,2,1,1,0,4
aio-libs~aioredis,20170108,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20170110,9,1,1,0,1,1,1,0,7
aio-libs~aioredis,20170111,10,0,2,0,0,0,0,0,2
aio-libs~aioredis,20170112,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20170113,5,1,3,0,2,3,1,0,1
aio-libs~aioredis,20170116,9,0,0,0,0,0,0,0,9
aio-libs~aioredis,20170117,6,1,3,0,3,4,0,0,0
aio-libs~aioredis,20170118,4,1,1,0,2,1,1,0,2
aio-libs~aioredis,20170119,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20170122,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20170123,2,2,1,0,0,2,0,0,0
aio-libs~aioredis,20170124,1,0,0,0,1,0,0,0,0
aio-libs~aioredis,20170125,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170126,2,0,7,0,2,0,2,0,2
aio-libs~aioredis,20170127,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20170130,2,1,2,0,1,1,0,0,1
aio-libs~aioredis,20170131,0,0,3,0,1,0,0,0,0
aio-libs~aioredis,20170201,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170202,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20170203,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170207,1,0,1,0,1,0,1,0,1
aio-libs~aioredis,20170208,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170213,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170217,1,1,0,0,0,1,0,0,0
aio-libs~aioredis,20170219,0,0,0,0,2,0,1,0,2
aio-libs~aioredis,20170220,0,0,3,0,1,0,0,0,0
aio-libs~aioredis,20170223,0,0,1,0,0,1,0,0,0
aio-libs~aioredis,20170302,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20170303,4,1,4,0,1,2,1,0,3
aio-libs~aioredis,20170306,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20170310,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170314,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20170315,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170323,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170326,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20170327,2,1,1,0,0,2,0,0,0
aio-libs~aioredis,20170330,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170403,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20170408,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20170409,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170413,4,1,2,0,1,1,1,0,1
aio-libs~aioredis,20170414,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170418,0,0,1,0,0,1,0,0,0
aio-libs~aioredis,20170421,0,0,2,0,1,1,0,0,0
aio-libs~aioredis,20170422,2,1,1,0,1,1,1,0,1
aio-libs~aioredis,20170424,0,0,1,0,1,0,1,0,1
aio-libs~aioredis,20170425,2,0,1,0,1,0,0,0,2
aio-libs~aioredis,20170427,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170428,3,1,4,0,2,1,2,0,4
aio-libs~aioredis,20170429,0,0,1,0,1,0,1,6,0
aio-libs~aioredis,20170501,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170502,0,0,1,0,0,0,0,0,4
aio-libs~aioredis,20170503,11,2,3,0,2,2,2,0,8
aio-libs~aioredis,20170504,10,3,2,0,3,5,2,0,3
aio-libs~aioredis,20170505,10,1,1,0,1,1,1,3,1
aio-libs~aioredis,20170506,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170509,2,0,0,0,2,0,2,0,2
aio-libs~aioredis,20170510,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20170511,8,2,7,0,2,3,2,5,6
aio-libs~aioredis,20170512,3,1,5,0,2,1,2,0,3
aio-libs~aioredis,20170513,5,1,0,0,1,2,1,0,3
aio-libs~aioredis,20170514,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20170515,9,5,3,0,2,6,2,0,3
aio-libs~aioredis,20170516,0,0,0,0,2,0,1,0,1
aio-libs~aioredis,20170517,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20170518,0,0,4,0,0,0,0,0,0
aio-libs~aioredis,20170522,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20170523,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20170525,1,0,0,0,2,0,0,0,0
aio-libs~aioredis,20170526,0,0,4,0,1,0,0,0,0
aio-libs~aioredis,20170528,0,0,2,0,1,1,1,0,1
aio-libs~aioredis,20170531,0,0,4,0,1,1,1,0,1
aio-libs~aioredis,20170601,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170605,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20170606,0,0,3,0,0,0,0,0,0
aio-libs~aioredis,20170607,2,0,4,0,2,0,2,2,6
aio-libs~aioredis,20170608,2,1,3,0,1,2,0,4,2
aio-libs~aioredis,20170609,2,1,2,0,2,2,2,6,3
aio-libs~aioredis,20170610,0,0,2,0,1,1,1,0,1
aio-libs~aioredis,20170612,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20170614,0,0,5,0,1,1,0,5,1
aio-libs~aioredis,20170616,0,0,4,0,1,0,1,0,2
aio-libs~aioredis,20170620,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20170621,7,5,7,0,4,8,4,0,10
aio-libs~aioredis,20170623,0,0,5,0,0,1,0,0,0
aio-libs~aioredis,20170626,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20170627,1,1,2,0,1,1,1,0,2
aio-libs~aioredis,20170628,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20170629,1,0,5,0,2,1,2,0,3
aio-libs~aioredis,20170630,6,3,7,0,3,3,2,0,1
